# f A
4.000000000000000000e+00 1.563153999999999932e-01
5.000000000000000000e+00 1.118706000000000006e-01
6.000000000000000000e+00 7.425099999999999756e-02
7.000000000000000000e+00 4.532259999999999761e-02
8.000000000000000000e+00 2.465569999999999914e-02
9.000000000000000000e+00 1.170249999999999936e-02
1.000000000000000000e+01 4.673700000000000250e-03
1.100000000000000000e+01 1.501900000000000023e-03
1.200000000000000000e+01 3.678999999999999979e-04
1.300000000000000000e+01 6.320000000000000476e-05
1.400000000000000000e+01 6.700000000000000226e-06
1.500000000000000000e+01 5.315789473684211010e-07
