# f A
4.000000000000000000e+00 1.172770000000000062e-01
5.000000000000000000e+00 8.375639999999999474e-02
6.000000000000000000e+00 5.572099999999999970e-02
7.000000000000000000e+00 3.394269999999999926e-02
8.000000000000000000e+00 1.853420000000000067e-02
9.000000000000000000e+00 8.756299999999999847e-03
1.000000000000000000e+01 3.524300000000000176e-03
1.100000000000000000e+01 1.123400000000000093e-03
1.200000000000000000e+01 2.687999999999999743e-04
1.300000000000000000e+01 4.770000000000000070e-05
1.400000000000000000e+01 6.000000000000000152e-06
1.500000000000000000e+01 3.607142857142857169e-07
